sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('no_effect', 'reinforcing');('no_effect', 'reinforcing');('no_effect', 'challenging');('no_effect', 'challenging');('reinforcing', 'challenging');('reinforcing', 'challenging')
liwc_scores_analytic;False;False;0.7278942568450847;False;;;False;;False;;False;
liwc_scores_authentic;False;False;0.859028381903031;False;;;False;;False;;False;
liwc_scores_categories_AllPunc;False;False;0.6084454176262597;False;;;False;;False;;False;
liwc_scores_categories_Apostro;False;False;0.31457592852088245;False;;;False;;False;;False;
liwc_scores_categories_Colon;False;False;0.7779197261610813;False;;;False;;False;;False;
liwc_scores_categories_Comma;False;False;0.8983247544701157;False;;;False;;False;;False;
liwc_scores_categories_Dash;False;False;0.09169893888800869;False;;;False;;False;;False;
liwc_scores_categories_Exclam;False;False;0.712494525165009;False;;;False;;False;;same values;same values
liwc_scores_categories_OtherP;False;False;0.382373046192777;False;;;False;;False;;False;
liwc_scores_categories_Parenth;False;False;0.8312939775785728;False;;;False;;False;;False;
liwc_scores_categories_Period;False;False;0.5595513818790327;False;;;False;;False;;False;
liwc_scores_categories_QMark;False;False;0.3189726773107885;False;;;False;;False;;False;
liwc_scores_categories_SemiC;False;False;0.2859757326379046;False;;;False;;False;;False;
liwc_scores_categories_achieve;False;False;0.5146612697810962;False;;;False;;False;;False;
liwc_scores_categories_adj;True;True;0.853857232083158;False;;F(2,195)= 0.16, p = 0.8538572, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_adverb;True;True;0.8085772009140808;False;;F(2,195)= 0.21, p = 0.8085772, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_affect;True;True;0.8250867830156057;False;;F(2,195)= 0.19, p = 0.8250868, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_affiliation;False;False;0.40948504649413686;False;;;False;;False;;False;
liwc_scores_categories_anger;False;False;0.4987886151991815;False;;;False;;False;;False;
liwc_scores_categories_anx;False;False;0.7433124292374955;False;;;False;;False;;False;
liwc_scores_categories_article;True;True;0.240438737331749;False;;F(2,195)= 1.44, p = 0.2404387, ω2 = 0.00;False;;False;;False;
liwc_scores_categories_assent;False;False;0.3503002926632964;False;;;False;;False;;False;
liwc_scores_categories_auxverb;True;True;0.7406323840906591;False;;F(2,195)= 0.30, p = 0.7406324, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_bio;False;False;0.19486319032696078;False;;;False;;False;;False;
liwc_scores_categories_body;False;False;0.129183551161309;False;;;False;;False;;False;
liwc_scores_categories_cause;False;False;0.18571275315942276;False;;;False;;False;;False;
liwc_scores_categories_certain;False;False;0.40149071282102555;False;;;False;;False;;False;
liwc_scores_categories_cogproc;True;True;0.4664954978643904;False;;F(2,195)= 0.77, p = 0.4664955, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_compare;False;False;0.13545330672432648;False;;;False;;False;;False;
liwc_scores_categories_conj;True;True;0.9790697387759577;False;;F(2,195)= 0.02, p = 0.9790697, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_death;False;False;0.6214728531196326;False;;;False;;False;;False;
liwc_scores_categories_differ;True;True;0.775773056870284;False;;F(2,195)= 0.25, p = 0.7757731, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_discrep;False;False;0.8420995538968227;False;;;False;;False;;False;
liwc_scores_categories_drives;True;True;0.7591405385440646;False;;F(2,195)= 0.28, p = 0.7591405, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_family;False;False;0.892387784979025;False;;;False;;False;;False;
liwc_scores_categories_feel;False;False;0.5295665931880349;False;;;False;;False;;False;
liwc_scores_categories_female;False;False;0.5777478821003619;False;;;False;;False;;False;
liwc_scores_categories_filler;False;False;0.5469832653641825;False;;;False;;False;;False;
liwc_scores_categories_focusfuture;False;False;0.8188500442217718;False;;;False;;False;;False;
liwc_scores_categories_focuspast;False;False;0.1958760113141673;False;;;False;;False;;False;
liwc_scores_categories_focuspresent;True;True;0.7539016981872341;False;;F(2,195)= 0.28, p = 0.7539017, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_friend;False;False;0.6179134919404297;False;;;False;;False;;False;
liwc_scores_categories_function;True;True;0.7274671559025914;False;;F(2,195)= 0.32, p = 0.7274672, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_health;False;False;0.9147226023895239;False;;;False;;False;;False;
liwc_scores_categories_hear;False;False;0.12962855920735528;False;;;False;;False;;False;
liwc_scores_categories_home;False;False;0.9683044580980331;False;;;False;;False;;False;
liwc_scores_categories_i;False;False;0.02144882574850026;True;;;False;;False;;True;-0.12
liwc_scores_categories_informal;False;False;0.5208536767919882;False;;;False;;False;;False;
liwc_scores_categories_ingest;False;False;0.7631012300898418;False;;;False;;False;;False;
liwc_scores_categories_insight;True;True;0.849545618136375;False;;F(2,195)= 0.16, p = 0.8495456, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_interrog;False;False;0.29992048279338057;False;;;False;;False;;False;
liwc_scores_categories_ipron;True;True;0.3260463492111575;False;;F(2,195)= 1.13, p = 0.3260463, ω2 = 0.00;False;;False;;False;
liwc_scores_categories_leisure;False;False;0.22448774461453863;False;;;False;;False;;False;
liwc_scores_categories_male;False;False;0.3922209812942723;False;;;False;;False;;False;
liwc_scores_categories_money;False;False;0.9824728103813574;False;;;False;;False;;False;
liwc_scores_categories_motion;False;False;0.5240867485737891;False;;;False;;False;;False;
liwc_scores_categories_negate;False;False;0.12099670707267852;False;;;False;;False;;False;
liwc_scores_categories_negemo;False;False;0.22016725738226303;False;;;False;;False;;False;
liwc_scores_categories_netspeak;False;False;0.9078294592209409;False;;;False;;False;;False;
liwc_scores_categories_nonflu;False;False;0.9141796464007811;False;;;False;;False;;False;
liwc_scores_categories_number;False;False;0.5649828154621293;False;;;False;;False;;False;
liwc_scores_categories_percept;False;False;0.0030486654042602757;True;;;False;;True;-0.22;True;-0.38
liwc_scores_categories_posemo;True;True;0.6220751300149798;False;;F(2,195)= 0.48, p = 0.6220751, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_power;True;True;0.9567758175331071;False;;F(2,195)= 0.04, p = 0.9567758, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_ppron;False;False;0.6573721292482613;False;;;False;;False;;False;
liwc_scores_categories_prep;True;True;0.07385477340227575;False;;F(2,195)= 2.64, p = 0.0738548, ω2 = 0.02;False;;False;;False;
liwc_scores_categories_pronoun;False;False;0.22556772929313454;False;;;False;;False;;False;
liwc_scores_categories_quant;False;False;0.9129850156886565;False;;;False;;False;;False;
liwc_scores_categories_relativ;True;True;0.9456863370714035;False;;F(2,195)= 0.06, p = 0.9456863, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_relig;False;False;0.7362305402167891;False;;;False;;False;;False;
liwc_scores_categories_reward;True;True;0.3358984672168864;False;;F(2,195)= 1.10, p = 0.3358985, ω2 = 0.00;False;;False;;False;
liwc_scores_categories_risk;False;False;0.13184288181369377;False;;;False;;False;;False;
liwc_scores_categories_sad;False;False;0.16586072637552324;False;;;False;;False;;False;
liwc_scores_categories_see;False;False;0.295288980274804;False;;;False;;False;;False;
liwc_scores_categories_sexual;False;False;0.662352490221215;False;;;False;;False;;False;
liwc_scores_categories_shehe;False;False;0.34339996334143946;False;;;False;;False;;False;
liwc_scores_categories_social;False;False;0.5089305652231799;False;;;False;;False;;False;
liwc_scores_categories_space;True;True;0.2720036185957833;False;;F(2,195)= 1.31, p = 0.2720036, ω2 = 0.00;False;;False;;False;
liwc_scores_categories_swear;False;False;0.16395239495738098;False;;;False;;False;;False;
liwc_scores_categories_tentat;False;False;0.5237197572500685;False;;;False;;False;;False;
liwc_scores_categories_they;False;False;0.9184906241311802;False;;;False;;False;;False;
liwc_scores_categories_time;False;False;0.19888251043189967;False;;;False;;False;;False;
liwc_scores_categories_verb;False;False;0.996219932121676;False;;;False;;False;;False;
liwc_scores_categories_we;False;False;0.873075724852749;False;;;False;;False;;False;
liwc_scores_categories_work;False;False;0.39466993677291123;False;;;False;;False;;False;
liwc_scores_categories_you;False;False;0.9924809508772411;False;;;False;;False;;False;
liwc_scores_clout;True;True;0.6170043991141263;False;;F(2,195)= 0.48, p = 0.6170044, ω2 = -0.01;False;;False;;False;
liwc_scores_dic;True;True;0.44600385688422217;False;;F(2,195)= 0.81, p = 0.4460039, ω2 = -0.00;False;;False;;False;
liwc_scores_sixLtr;True;True;0.5855705201309892;False;;F(2,195)= 0.54, p = 0.5855705, ω2 = -0.00;False;;False;;False;
liwc_scores_tone;False;False;0.20916924810315554;False;;;False;;False;;False;
liwc_scores_wc;False;False;0.0136058025704436;True;;;False;;True;-0.25;False;
liwc_scores_wps;False;False;0.39612099275880064;False;;;False;;False;;False;
nrc_anger;False;False;0.3248785712959725;False;;;False;;False;;False;
nrc_anticipation;False;False;0.890345261721981;False;;;False;;False;;False;
nrc_disgust;False;False;0.9015070407295009;False;;;False;;False;;False;
nrc_fear;False;False;0.43525304268591436;False;;;False;;False;;False;
nrc_joy;False;False;0.9050311124725766;False;;;False;;False;;False;
nrc_negative;False;False;0.9686058674982025;False;;;False;;False;;False;
nrc_positive;True;True;0.25258256947430685;False;;F(2,195)= 1.39, p = 0.2525826, ω2 = 0.00;False;;False;;False;
nrc_ratio;True;True;0.847010907919175;False;;F(2,195)= 0.17, p = 0.8470109, ω2 = -0.01;False;;False;;False;
nrc_sadness;False;False;0.7438086734096065;False;;;False;;False;;False;
nrc_surprise;False;False;0.8187681479382656;False;;;False;;False;;False;
nrc_trust;True;True;0.12661652738625667;False;;F(2,195)= 2.09, p = 0.1266165, ω2 = 0.01;False;;False;;False;
adu_anecdote;False;False;0.6407041628219481;False;;;False;;False;;False;
adu_other;True;True;0.0023303953125030233;True;low;F(2,195)= 6.25, p = 0.0023304, ω2 = 0.05;False;;True;-0.27;True;-0.3
adu_statistics;False;False;0.6130614953769943;False;;;False;;False;;False;
adu_testimony;False;False;0.6159550786555086;False;;;False;;False;;False;
mpqa_arg_assessments;False;False;0.4838711026584783;False;;;False;;False;;False;
mpqa_arg_authority;False;False;0.9976499684293569;False;;;False;;False;;False;
mpqa_arg_causation;False;False;0.18494987916846556;False;;;False;;False;;False;
mpqa_arg_conditionals;False;False;0.034233680350343514;True;;;False;;False;;False;
mpqa_arg_contrast;False;False;0.4884513009463639;False;;;False;;False;;False;
mpqa_arg_difficulty;False;False;0.6878691937924581;False;;;False;;False;;False;
mpqa_arg_doubt;False;False;0.20604016784034013;False;;;False;;False;;False;
mpqa_arg_emphasis;False;False;0.015802165669793058;True;;;False;;False;;True;0.28
mpqa_arg_generalization;False;False;0.6515127413331269;False;;;False;;False;;False;
mpqa_arg_inconsistency;False;False;0.44598583945771364;False;;;False;;False;;False;
mpqa_arg_lexicon_ratio;True;True;0.6539032423283349;False;;F(2,195)= 0.43, p = 0.6539032, ω2 = -0.01;False;;False;;False;
mpqa_arg_necessity;False;False;0.16760512603525538;False;;;False;;False;;False;
mpqa_arg_possibility;False;False;0.8997238911222696;False;;;False;;False;;False;
mpqa_arg_priority;False;False;0.19108286526746887;False;;;False;;False;;False;
mpqa_arg_rhetoricalquestion;False;False;0.7487264969358439;False;;;False;;False;;False;
mpqa_arg_structure;False;False;0.9180033502823559;False;;;False;;False;;False;
mpqa_arg_wants;False;False;0.13497077283332545;False;;;False;;False;;False;
mpqa_subjobg_obj;False;False;0.01898815681001684;True;;;False;;True;-0.23;False;
mpqa_subjobg_subj;False;False;nan;False;;;False;;False;;False;
